Rank, Site, System, Cores, Rmax (TFlop/s), Rpeak (TFlop/s), Power (kW),Country
449,Penguin Computing Inc.United States,Topaz - Tundra Extreme Scale Xeon E5-2695v4 18C 2.1GHz Intel Omni-Path                    Penguin Computing Inc.,26496,759.9,778.5,321,United States
450,Service ProviderKorea South,HP Apollo XL1x0r Xeon E5-2683 v4  16C 2.1GHz Infiniband EDR                    HPE,30720,759.6,1032.2,,Korea South
451,E-CommerceUnited States,Cluster Platform DL360 Xeon E5-2660v4 14C 2GHz 10G Ethernet                    HPE,41132,758.6,1316.2,,United States
452,Retailer (C)United States,Cluster Platform DL380 Xeon E5-2630v4 10C 2.2GHz 10G Ethernet                    HPE,36500,758.6,1284.8,,United States
453,Retailer (C)United States,Cluster Platform DL380 Xeon E5-2630v4 10C 2.2GHz 10G Ethernet                    HPE,36500,758.6,1284.8,,United States
454,Service ProviderKorea South,Cluster Platform DL380 Xeon E5-2680v4 14C 2.4GHz 10G Ethernet                    HPE,32760,757,1258,,Korea South
455,Internet Company AChina,Lenovo ThinkServer RD650 Intel Xeon E5-2650v3 10C 2GHz 10G Ethernet                    Lenovo,70000,756.9,2240,2625,China
456,Internet Company AChina,Lenovo ThinkServer RD650 Intel Xeon E5-2650v3 10C 2GHz 10G Ethernet                    Lenovo,70000,756.9,2240,2625,China
457,Internet Company AChina,Lenovo ThinkServer RD650 Intel Xeon E5-2650v3 10C 2GHz 10G Ethernet                    Lenovo,70000,756.9,2240,2625,China
458,"National Research Centre ""Kurchatov Institute""Russia",HPC4/HPC5 - SuperMicro Twin^2/2U GPU/T-Platforms V205  Xeon E5-2680v3 12C 2.5GHz Infiniband FDR NVIDIA Tesla K80                    SuperMicro/Mellanox,22700,755.5,1268.4,,Russia
459,Software Company (M)United States,Cluster Platform DL380 Xeon E5-2673v3 12C 2.4GHz 10G Ethernet                    HPE,30000,753.5,1152,1000,United States
460,IT Service ProviderChina,Sugon TC6000 Xeon E5-2630v4 10C 2.2GHz 10G Ethernet                    Sugon,44000,752.3,1548.8,1029,China
461,Government Research CenterChina,Sugon TC6000 Xeon E5-2680v3 12C 2.5GHz 10G Ethernet                    Sugon,38400,752.3,1536,672,China
462,Internet Service (B)China,Inspur TS10000 Xeon E5-2670v3 12C 2.3GHz 10G Ethernet                    Inspur,48000,748.2,1766.4,,China
463,Internet Service (B)China,Inspur TS10000 Xeon E5-2670v3 12C 2.3GHz 10G Ethernet                    Inspur,48000,748.2,1766.4,,China
464,Service Provider TChina,Inspur TS10000 Xeon E5-2670v3 12C 2.3GHz 10G Ethernet                    Inspur,48000,748.2,1766.4,,China
465,Manufacturing Company AGermany,FusionServer CH140 V3 Cluster Xeon E5-2680 v4/E5-2680v3 12C 2.5GHz Infiniband FDR                    Huawei Technologies Co. Ltd.,35480,747.7,1419.2,574,Germany
466,Central China Normal UniversityChina,Inspur TS10000 HPC Cluster System - Inspur TS10000 Xeon Gold 6126 12C 2.6GHz NVIDIA Tesla V100 Infiniband EDR                    Inspur,11952,746.1,1080,,China
467,Software Company (M)United States,Cluster Platform DL360 Xeon E5-2673v3 12C 2.4GHz 10G Ethernet                    HPE,32832,746.1,1260.7,,United States
468,Center for Computational Sciences University of TsukubaJapan,COMA (PACS-IX) - Cray CS300 1027GR Intel Xeon E5-2670v2  10C 2.500GHz Infiniband FDR Intel Xeon Phi 7110P                    Cray Inc.,55664,746,998.5,366,Japan
469,GovernmentChina,ImageSystem - Sugon Cluster W580I Xeon Gold 5118 12C 2.3GHz NVIDIA Tesla P100 Infiniband FDR                    Sugon,15872,745.9,1288.4,150,China
