Rank, Site, System, Cores, Rmax (TFlop/s), Rpeak (TFlop/s), Power (kW),Country
304,China Manufacture Company BChina,Huawei X6800 V3 Xeon E5-2683 v4  16C 2.1GHz Infiniband EDR                    Huawei Technologies Co. Ltd.,32768,937.9,1101,416,China
305,Manufacturing Company (A)Sweden,Huawei E9000 Blade Server Xeon E5-2690v4 14C 2.6GHz Infiniband FDR                    Huawei Technologies Co. Ltd.,27664,935.6,1150.8,445,Sweden
306,Internet Service AChina,Inspur NF5280M Xeon E5-2682v4 16C 2.5GHz NVIDIA Tesla P100 25G Ethernet                    Inspur,25920,934.7,1908,,China
307,Internet Service (B)China,Inspur SA5212M4 Xeon E5-2670v3 12C 2.3GHz 10G Ethernet                    Inspur,52800,934.2,1943,,China
308,Internet Service (B)China,Inspur SA5212M4 Xeon E5-2670v3 12C 2.3GHz 10G Ethernet                    Inspur,52800,934.2,1943,,China
309,Internet Service (B)China,Inspur SA5212M4 Xeon E5-2670v3 12C 2.3GHz 10G Ethernet                    Inspur,52800,934.2,1943,,China
310,IT Service ProviderChina,CloudSystem - Sugon I620 Xeon E5-2630v3 8C 2.4GHz 10G Ethernet                    Sugon,49600,932.3,1904.6,930,China
311,Internet CompanyChina,IT-su - Sugon TC6000 Xeon E5-2630v4 10C 2.2GHz 10G Ethernet                    Sugon,54000,931.2,1900.8,675,China
312,Internet CompanyChina,IT-h3 - Sugon TC6000 Xeon E5-2620v4 8C 2.1GHz 10G Ethernet                    Sugon,56000,920.8,1881.6,770,China
313,Information Technology Company (P)China,Cluster Platform DL380 Xeon E5-2699v4  22C 2.2GHz 10G Ethernet                    HPE,46640,918.8,1641.7,,China
314,IT Service Provider (L)China,Sugon I620 Xeon E5-2630v3 8C 2.4GHz 10G Ethernet                    Sugon,48000,918.4,1843.2,900,China
315,Service Provider TChina,Lenovo x3950 Intel Xeon E7-8860v4 18C 2.2GHz 10G Ethernet                    Lenovo,43200,915.4,1520.6,,China
316,Internet CompanyChina,Sugon TC6000 Xeon E5-2650v3 10C 2.3GHz 10G Ethernet                    Sugon,50000,914.8,1840,1235,China
317,IT Provider (P)United States,Apollo 6000 XL2x0a Xeon E5-2680v3 12C 2.5GHz Infiniband FDR                    HPE,28800,914.7,1152,1590,United States
318,Internet Company AChina,Internet Company A N1 - ThinkSystem RD452 Xeon E5-2682v4 16C 2.5GHz NVIDIA Tesla P100 10G Ethernet                    Lenovo,21600,912.7,1602,,China
319,Internet Company AChina,Internet Company A N2 - ThinkSystem RD452 Xeon E5-2682v4 16C 2.5GHz NVIDIA Tesla P100 10G Ethernet                    Lenovo,21600,912.7,1602,,China
320,Interdisciplinary Centre for Mathematical and Computational Modelling University of WarsawPoland,OKEANOS - Cray XC40 Xeon E5-2690v3 12C 2.6GHz Aries interconnect                     Cray Inc.,26016,909.6,1082.3,585,Poland
321,National Institute of Water and Atmospheric ResearchNew Zealand,Maui - Cray XC50 Xeon Gold 6148 20C 2.4GHz Aries interconnect                     Cray Inc.,18560,908.9,1425.4,,New Zealand
322,Internet Service AChina,Inspur TS10000 Xeon Platinum 8163 24C 2.5GHz NVIDIA Tesla V100 25G Ethernet                    Inspur,20640,906.1,1800,,China
323,Shared Services CanadaCanada,Brooks - Cray XC40 Xeon E5-2695v4 18C 2.1GHz Aries interconnect                     Cray Inc.,30816,904.1,1035.4,,Canada
324,Shared Services CanadaCanada,Hare - Cray XC40 Xeon E5-2695v4 18C 2.1GHz Aries interconnect                     Cray Inc.,30816,904.1,1035.4,,Canada
325,GovernmentChina,Lenovo NeXtScale nx360 M5 Xeon E5-2680v4 14C 2.4GHz 10G Ethernet                    Lenovo,50400,902.2,1935.4,,China
326,Moscow State University - Research Computing CenterRussia,Lomonosov - T-Platforms T-Blade2/1.1 Xeon X5570/X5670/E5630 2.93/2.53 GHz Nvidia 2070 GPU PowerXCell 8i Infiniband QDR                    T-Platforms,78660,901.9,1700.2,2800,Russia
327,Supercomputer Education and Research Centre (SERC) Indian Institute of ScienceIndia,SERC - Cray XC40 Xeon E5-2680v3 12C 2.5GHz Aries interconnect                     Cray Inc.,31104,901.5,1244.2,608,India
328,UniversityChina,DLCluster - Sugon Cluster W580I Xeon Gold 5118 12C 2.3GHz NVIDIA Tesla V100 Infiniband EDR                    Sugon,17200,897.2,1444.2,140,China
329,Internet CompanyChina,JD D1 - Lenovo x3550 Xeon E5-2650v4 12C 2.2GHz 10G Ethernet                    Lenovo,51360,895.1,1807.9,,China
330,Rensselaer Polytechnic InstituteUnited States,BlueGene/Q Power BQC 16C 1.60GHz Custom                    IBM,81920,894.4,1048.6,411,United States
331,Software Company (M)United States,Cluster Platform DL360 Xeon E5-2673v3 12C 2.4GHz Infiniband FDR                    HPE,32400,893,1244.2,,United States
332,Simulation Cloud Service AChina,Huawei RH2288H V3 Cluster Xeon E5-2683 v4  16C 2.1GHz Infiniband EDR                    Huawei Technologies Co. Ltd.,33216,889.3,1116.1,437,China
333,Internet Service AChina,Inspur SA5212H5 Xeon E5-2682v4 16C 2.5GHz NVIDIA Tesla P100 25G Ethernet                    Inspur,19200,884,1696,,China
334,Internet Service AChina,Inspur SA5212H5 Xeon E5-2682v4 16C 2.5GHz NVIDIA Tesla P100 25G Ethernet                    Inspur,19200,884,1696,,China
335,Internet Service AChina,Inspur SA5212H5 Xeon E5-2682v4 16C 2.5GHz NVIDIA Tesla P100 25G Ethernet                    Inspur,18240,882,1611.2,,China
336,Internet Service AChina,Inspur SA5212H5 Xeon E5-2682v4 16C 2.5GHz NVIDIA Tesla P100 25G Ethernet                    Inspur,18240,882,1611.2,,China
